CAOF,"""Calcium in fertiliser"""
SEED,"""Seed"""
PLAP,"""Plant protection"""
REPM,"""Maintenance materials"""
REPB,"""Maintenance buildings"""
ELEC,"""Electricity"""
EGAS,"""Heating gas and oil"""
EFUL,"""Fuels"""
ELUB,"""Lubricants"""
WATR,"""Water balance or deficit"""
INPO,"""Other inputs"""
SERI,"""Services input"""
IPHA,"""Pharmaceutical inputs"""
NITF,"""Nitrogen in fertilizer"""
PHOF,"""Phosphate uptake of crops P2O5"""
POTF,"""Potassium uptake of crops K2O"""
FCER,"""Feed cereals"""
FPRO,"""Feed rich protein"""
FENE,"""Feed rich energy"""
FMIL,"""Feed from milk product"""
FOTH,"""Feed other"""
FGRA,"""Feed from grass"""
FCOM,"""Milk for feeding"""
FSGM,"""Sheep and goat milk for feeding"""
FMAI,"""Fodder maize"""
FROO,"""Fodder root crops"""
FOFA,"""Other fodder on arable land"""
FSTR,"""Straw"""
ICAM,"""Male calves"""
ICAF,"""Female calves"""
IHEI,"""Young heifers"""
ICOW,"""Young cows"""
IPIG,"""Piglets"""
IBUL,"""Young bulls"""
ILAM,"""Lambs"""
